UserID,Gender,Age,EstimatedSalary,AgeGroup,SalarySlab,Purchased
10052,F,28.0,60801.0,Young,Medium,0
10053,F,32.0,49315.0,Adult,Medium,0
10054,F,,106140.0,Young,High,1
10055,Female,38.0,43246.0,Adult,Medium,0
10056,F,58.0,65780.0,Senior,Medium,1
10057,Male,40.0,-500.0,Adult,Low,0
10058,Male,33.0,24082.0,Adult,Low,0
10059,Male,33.0,77449.0,Adult,Medium,1
10060,male,,38791.0,Senior,Low,0
10061,M,49.0,85638.0,Adult,Medium,1
10062,male,38.0,40518.0,Adult,Medium,0
10063,F,34.0,81873.0,Adult,Medium,1
10064,M,76.0,92857.0,Senior,High,1
10065,male,42.0,86668.0,Adult,Medium,1
10066,Female,27.0,71227.0,Young,Medium,0
10067,Male,32.0,59336.0,Adult,Medium,0
10068,F,51.0,50392.0,Senior,Medium,1
10069,Male,38.0,,Adult,High,1
10070,F,21.0,47432.0,Young,Medium,0
10071,F,49.0,39476.0,Adult,Low,0
10072,Male,30.0,81518.0,Adult,Medium,1
10073,Male,61.0,45583.0,Senior,Medium,1
10074,F,50.0,40945.0,Senior,Medium,0
10075,female,31.0,28455.0,Adult,Low,0
10076,female,53.0,53166.0,Senior,Medium,1
10077,F,38.0,63188.0,Adult,Medium,0
10078,Male,49.0,70779.0,Adult,Medium,1
10079,M,42.0,88542.0,Adult,Medium,1
10080,Male,28.0,78361.0,Young,Medium,1
10081,F,30.0,,Adult,Medium,0
10082,Female,49.0,60231.0,Adult,Medium,1
10083,male,32.0,78038.0,Adult,Medium,1
10084,Male,32.0,96653.0,Adult,High,1
10085,male,25.0,68068.0,Young,Medium,0
10086,male,42.0,53743.0,Adult,Medium,0
10087,female,62.0,39938.0,Senior,Low,0
10088,Female,25.0,28654.0,Young,Low,0
10089,F,38.0,81668.0,Adult,Medium,1
10090,Female,55.0,79034.0,Senior,Medium,1
10091,Male,36.0,-1200.0,Adult,Low,0
10092,female,42.0,61712.0,Adult,Medium,1
10093,female,25.0,,Young,High,1
10094,Female,42.0,52427.0,Adult,Medium,0
10095,F,36.0,89090.0,Adult,Medium,1
10096,Female,48.0,64133.0,Adult,Medium,1
10097,Female,51.0,49730.0,Senior,Medium,1
10098,Female,70.0,80297.0,Senior,Medium,1
10099,Male,44.0,75088.0,Adult,Medium,1
10100,Male,41.0,500394.0,Adult,High,1
10101,Male,39.0,66942.0,Adult,Medium,1
10102,Female,34.0,64079.0,Adult,Medium,0
10103,male,42.0,124518.0,Adult,High,1
10104,Female,34.0,95054.0,Adult,High,1
10105,F,40.0,82965.0,Adult,Medium,1
10106,Male,52.0,68081.0,Senior,Medium,1
10107,M,26.0,90015.0,Young,High,1
10108,female,50.0,78122.0,Senior,Medium,1
10109,Male,53.0,65591.0,Senior,Medium,1
10110,Male,37.0,57613.0,Adult,Medium,0
10111,male,11.0,63139.0,Young,Medium,0
10112,Male,,9864.0,Adult,Low,0
10113,F,53.0,70687.0,Senior,Medium,1
10114,F,36.0,52400.0,Adult,Medium,0
10115,Female,26.0,105100.0,Young,High,1
10116,F,31.0,65158.0,Adult,Medium,0
10117,F,49.0,34923.0,Adult,Low,0
10118,Male,,63429.0,Adult,Medium,1
10119,F,34.0,39281.0,Adult,Low,0
10120,Female,34.0,76716.0,Adult,Medium,1
10121,F,32.0,71995.0,Adult,Medium,0
10122,F,,-500.0,Young,Low,0
10123,male,58.0,45511.0,Senior,Medium,1
10124,Male,200.0,65538.0,Senior,Medium,1
10125,Male,53.0,30679.0,Senior,Low,0
10126,Female,57.0,82414.0,Senior,Medium,1
10127,F,48.0,78072.0,Adult,Medium,1
10128,F,32.0,77237.0,Adult,Medium,1
10129,Male,42.0,65313.0,Adult,Medium,1
10130,Female,38.0,75024.0,Adult,Medium,1
10131,M,,105319.0,Young,High,1
10132,Male,40.0,57426.0,Adult,Medium,0
10133,Male,23.0,68731.0,Young,Medium,0
10134,male,51.0,37787.0,Senior,Low,0
10135,F,31.0,,Adult,Medium,0
10136,male,150.0,67144.0,Senior,Medium,1
10137,Female,,92500.0,Adult,High,1
10138,female,33.0,58705.0,Adult,Medium,0
10139,M,44.0,59398.0,Adult,Medium,1
10140,F,31.0,54989.0,Adult,Medium,0
10141,F,49.0,51753.0,Adult,Medium,1
10142,male,21.0,72801.0,Young,Medium,0
10143,Female,40.0,27845.0,Adult,Low,0
10144,male,60.0,,Senior,High,1
10145,male,25.0,48040.0,Young,Medium,0
10146,Male,28.0,82995.0,Young,Medium,1
10147,Female,44.0,33492.0,Adult,Low,0
10148,Female,41.0,81761.0,Adult,Medium,1
10149,Male,42.0,82252.0,Adult,Medium,1
10150,male,42.0,74405.0,Adult,Medium,1
10151,F,45.0,,Adult,Low,0
10152,Male,51.0,71044.0,Senior,Medium,1
10153,Male,43.0,35673.0,Adult,Low,0
10154,Female,34.0,59048.0,Adult,Medium,0
10155,F,46.0,91225.0,Adult,High,1
10156,Male,61.0,85312.0,Senior,Medium,1
10157,female,36.0,65145.0,Adult,Medium,0
10158,female,25.0,40342.0,Young,Medium,0
10159,Male,51.0,81232.0,Senior,Medium,1
10160,female,36.0,65623.0,Adult,Medium,1
10161,M,11.0,9982.0,Young,Low,0
10162,Female,48.0,84326.0,Adult,Medium,1
10163,Female,30.0,63960.0,Adult,Medium,0
10164,Female,37.0,95134.0,Adult,High,1
10165,Male,42.0,37250.0,Adult,Low,0
10166,F,40.0,10148.0,Adult,Low,0
10167,male,45.0,72016.0,Adult,Medium,1
10168,Male,31.0,72300.0,Adult,Medium,0
10169,Male,43.0,22443.0,Adult,Low,0
10170,Female,33.0,41024.0,Adult,Medium,0
10171,female,45.0,134366.0,Adult,High,1
10172,Male,44.0,57575.0,Adult,Medium,1
10173,Female,26.0,83025.0,Young,Medium,1
10174,Male,52.0,48270.0,Senior,Medium,1
10175,Female,32.0,12284.0,Adult,Low,0
10176,Male,47.0,60871.0,Adult,Medium,1
10177,female,43.0,999904.0,Adult,High,1
10178,M,59.0,55489.0,Senior,Medium,1
10179,F,34.0,62334.0,Adult,Medium,0
10180,Male,34.0,71151.0,Adult,Medium,1
10181,male,36.0,61200.0,Adult,Medium,0
10182,Male,33.0,33576.0,Adult,Low,0
10183,F,48.0,76958.0,Adult,Medium,1
10184,F,18.0,16479.0,Young,Low,0
10185,male,26.0,13473.0,Young,Low,0
10186,Female,26.0,83223.0,Young,Medium,1
10187,F,50.0,77895.0,Senior,Medium,1
10188,Female,59.0,63824.0,Senior,Medium,1
10189,Female,36.0,499794.0,Adult,High,1
10190,Male,35.0,47640.0,Adult,Medium,0
10191,Male,37.0,58313.0,Adult,Medium,0
10192,F,50.0,,Senior,Low,0
10193,F,27.0,,Young,Medium,0
10194,Female,39.0,80808.0,Adult,Medium,1
10195,male,49.0,,Adult,High,1
10196,male,43.0,54941.0,Adult,Medium,0
10197,female,39.0,83918.0,Adult,Medium,1
10198,F,49.0,17408.0,Adult,Low,0
10199,F,6.0,81889.0,Young,Medium,0
10200,F,45.0,44981.0,Adult,Medium,0
10201,Female,30.0,72212.0,Adult,Medium,1
10202,Male,16.0,58932.0,Young,Medium,0
10203,Male,44.0,98029.0,Adult,High,1
10204,F,54.0,43519.0,Senior,Medium,1
10205,Female,35.0,80464.0,Adult,Medium,1
10206,Male,50.0,58003.0,Senior,Medium,1
10207,Male,57.0,61368.0,Senior,Medium,1
10208,Female,53.0,60853.0,Senior,Medium,1
10209,Male,58.0,44283.0,Senior,Medium,1
10210,Male,47.0,64993.0,Adult,Medium,1
10211,Female,38.0,62968.0,Adult,Medium,0
10212,female,18.0,70841.0,Young,Medium,0
10213,Female,36.0,66655.0,Adult,Medium,1
10214,Male,27.0,84603.0,Young,Medium,1
10215,female,64.0,,Senior,Medium,1
10216,Male,34.0,38823.0,Adult,Low,0
10217,male,40.0,86831.0,Adult,Medium,1
10218,female,43.0,35278.0,Adult,Low,0
10219,Female,37.0,79627.0,Adult,Medium,1
10220,F,59.0,80534.0,Senior,Medium,1
10221,Female,29.0,16755.0,Young,Low,0
10222,Female,40.0,67062.0,Adult,Medium,1
10223,Male,28.0,52799.0,Young,Medium,0
10224,M,23.0,45651.0,Young,Medium,0
10225,male,30.0,98414.0,Adult,High,1
10226,Male,,48841.0,Adult,Medium,0
10227,F,32.0,44794.0,Adult,Medium,0
10228,M,29.0,66759.0,Young,Medium,0
10229,F,20.0,82397.0,Young,Medium,0
10230,Female,36.0,61204.0,Adult,Medium,0
10231,F,19.0,94581.0,Young,High,1
10232,Female,48.0,77818.0,Adult,Medium,1
10233,Female,38.0,10808.0,Adult,Low,0
10234,Female,19.0,51637.0,Young,Medium,0
10235,Male,34.0,50743.0,Adult,Medium,0
10236,female,27.0,76690.0,Young,Medium,0
10237,male,41.0,10423.0,Adult,Low,0
10238,Male,55.0,129219.0,Senior,High,1
10239,Female,15.0,78293.0,Young,Medium,0
10240,Male,40.0,69178.0,Adult,Medium,1
10241,F,37.0,749741.0,Adult,High,1
10242,F,46.0,123712.0,Adult,High,1
10243,F,41.0,86381.0,Adult,Medium,1
10244,M,29.0,89038.0,Young,Medium,1
10245,Male,33.0,68068.0,Adult,Medium,0
10246,F,27.0,61236.0,Young,Medium,0
10247,Female,,52700.0,Senior,Medium,1
10248,F,38.0,44140.0,Adult,Medium,0
10249,F,61.0,48024.0,Senior,Medium,1
10250,F,37.0,31095.0,Adult,Low,0
10251,male,28.0,62890.0,Young,Medium,0
10252,M,19.0,22536.0,Young,Low,0
10253,F,17.0,69841.0,Young,Medium,0
10254,male,19.0,64013.0,Young,Medium,0
10255,Male,42.0,69088.0,Adult,Medium,1
10256,Female,45.0,52295.0,Adult,Medium,0
10257,F,20.0,141470.0,Young,High,1
10258,female,48.0,98708.0,Adult,High,1
10259,Female,33.0,33949.0,Adult,Low,0
10260,Male,38.0,71174.0,Adult,Medium,1
10261,Female,58.0,50181.0,Senior,Medium,1
10262,F,48.0,39799.0,Adult,Low,0
10263,Male,35.0,31562.0,Adult,Low,0
10264,Female,28.0,75517.0,Young,Medium,0
10265,F,12.0,47530.0,Young,Medium,0
10266,female,30.0,88926.0,Adult,Medium,1
10267,female,35.0,,Adult,High,1
10268,female,27.0,99657.0,Young,High,1
10269,M,35.0,44039.0,Adult,Medium,0
10270,male,39.0,77046.0,Adult,Medium,1
10271,F,,,Adult,Medium,1
10272,F,29.0,52964.0,Young,Medium,0
10273,F,,45971.0,Adult,Medium,0
10274,F,44.0,,Adult,High,1
10275,Female,23.0,70323.0,Young,Medium,0
10276,Female,54.0,81279.0,Senior,Medium,1
10277,F,35.0,44594.0,Adult,Medium,0
10278,Female,,34953.0,Adult,Low,0
10279,female,46.0,50828.0,Adult,Medium,0
10280,F,39.0,61463.0,Adult,Medium,0
10281,F,49.0,38407.0,Adult,Low,0
10282,male,40.0,64384.0,Adult,Medium,1
10283,M,29.0,22620.0,Young,Low,0
10284,Male,41.0,36529.0,Adult,Low,0
10285,Female,25.0,82139.0,Young,Medium,1
10286,Male,,80491.0,Adult,Medium,1
10287,Female,37.0,55574.0,Adult,Medium,0
10288,Female,34.0,39552.0,Adult,Low,0
10289,male,36.0,39056.0,Adult,Low,0
10290,Female,16.0,55359.0,Young,Medium,0
10291,Male,32.0,80753.0,Adult,Medium,1
10292,Male,40.0,88365.0,Adult,Medium,1
10293,F,40.0,52686.0,Adult,Medium,0
10294,M,25.0,36222.0,Young,Low,0
10295,Male,52.0,71843.0,Senior,Medium,1
10296,Female,27.0,44898.0,Young,Medium,0
10297,female,48.0,51733.0,Adult,Medium,0
10298,Male,44.0,98572.0,Adult,High,1
10299,Female,,,Young,Medium,1
10300,Male,,69047.0,Senior,Medium,1
10301,Male,23.0,33117.0,Young,Low,0
10302,Female,48.0,70303.0,Adult,Medium,1
10303,Female,50.0,-500.0,Senior,Low,0
10304,Female,30.0,55977.0,Adult,Medium,0
10305,female,54.0,98292.0,Senior,High,1
10306,F,35.0,97625.0,Adult,High,1
10307,Female,42.0,106198.0,Adult,High,1
10308,male,42.0,72413.0,Adult,Medium,1
10309,F,36.0,79287.0,Adult,Medium,1
10310,male,47.0,-1200.0,Adult,Low,0
10311,Female,46.0,,Adult,Medium,1
10312,Male,16.0,52003.0,Young,Medium,0
10313,Male,53.0,-1200.0,Senior,Low,0
10314,F,18.0,70770.0,Young,Medium,0
10315,F,50.0,33145.0,Senior,Low,0
10316,female,51.0,,Senior,Medium,1
10317,M,25.0,91965.0,Young,High,1
10318,Male,34.0,10576.0,Adult,Low,0
10319,Male,25.0,102942.0,Young,High,1
10320,male,35.0,93174.0,Adult,High,1
10321,Female,35.0,53838.0,Adult,Medium,0
10322,female,48.0,78452.0,Adult,Medium,1
10323,Female,52.0,,Senior,Medium,1
10324,male,53.0,95279.0,Senior,High,1
10325,F,32.0,89895.0,Adult,Medium,1
10326,female,,30201.0,Adult,Low,0
10327,Female,18.0,80049.0,Young,Medium,0
10328,Female,120.0,59719.0,Senior,Medium,1
10329,M,48.0,-500.0,Adult,Low,0
10330,Male,56.0,46904.0,Senior,Medium,1
10331,M,22.0,108236.0,Young,High,1
10332,female,31.0,90743.0,Adult,High,1
10333,Male,,46955.0,Adult,Medium,0
10334,Male,,31192.0,Adult,Low,0
10335,Male,27.0,55628.0,Young,Medium,0
10336,Male,43.0,75890.0,Adult,Medium,1
10337,F,33.0,70582.0,Adult,Medium,1
10338,female,38.0,96545.0,Adult,High,1
10339,Female,43.0,84548.0,Adult,Medium,1
10340,Male,37.0,89416.0,Adult,Medium,1
10341,Female,-23.0,73473.0,Young,Medium,0
10342,Female,35.0,30663.0,Adult,Low,0
10343,Male,36.0,59718.0,Adult,Medium,0
10344,Female,32.0,91414.0,Adult,High,1
10345,M,33.0,64110.0,Adult,Medium,0
10346,Female,56.0,-300.0,Senior,Low,0
10347,Female,45.0,57395.0,Adult,Medium,1
10348,Male,34.0,38898.0,Adult,Low,0
10349,M,46.0,62083.0,Adult,Medium,1
10350,Female,34.0,72915.0,Adult,Medium,1
10351,Female,53.0,48964.0,Senior,Medium,1
10352,F,43.0,59254.0,Adult,Medium,1
10353,Female,36.0,41942.0,Adult,Medium,0
10354,Male,42.0,93307.0,Adult,High,1
10355,Male,20.0,57155.0,Young,Medium,0
10356,Female,25.0,101168.0,Young,High,1
10357,Male,24.0,103672.0,Young,High,1
10358,Female,38.0,62627.0,Adult,Medium,0
10359,F,57.0,40071.0,Senior,Medium,0
10360,Female,65.0,12857.0,Senior,Low,0
10361,M,44.0,28476.0,Adult,Low,0
10362,Female,45.0,30513.0,Adult,Low,0
10363,Female,15.0,99292.0,Young,High,1
10364,Female,31.0,68312.0,Adult,Medium,0
10365,F,28.0,74767.0,Young,Medium,0
10366,M,29.0,9511.0,Young,Low,0
10367,F,35.0,34624.0,Adult,Low,0
10368,F,32.0,86887.0,Adult,Medium,1
10369,Male,14.0,72359.0,Young,Medium,0
10370,Male,47.0,61459.0,Adult,Medium,1
10371,Male,24.0,78903.0,Young,Medium,0
10372,Male,39.0,105588.0,Adult,High,1
10373,Male,61.0,59752.0,Senior,Medium,1
10374,female,26.0,66263.0,Young,Medium,0
10375,Male,8.0,69322.0,Young,Medium,0
10376,male,33.0,,Adult,High,1
10377,F,51.0,12460.0,Senior,Low,0
10378,Male,62.0,81889.0,Senior,Medium,1
10379,F,24.0,62305.0,Young,Medium,0
10380,male,42.0,79373.0,Adult,Medium,1
10381,Male,31.0,48490.0,Adult,Medium,0
10382,female,36.0,64091.0,Adult,Medium,0
10383,Female,68.0,83056.0,Senior,Medium,1
10384,F,19.0,143025.0,Young,High,1
10385,female,42.0,85290.0,Adult,Medium,1
10386,F,44.0,43988.0,Adult,Medium,0
10387,male,52.0,53996.0,Senior,Medium,1
10388,Male,40.0,,Adult,Medium,0
10389,female,40.0,20051.0,Adult,Low,0
10390,F,32.0,,Adult,Medium,0
10391,F,41.0,82898.0,Adult,Medium,1
10392,M,33.0,33118.0,Adult,Low,0
10393,M,45.0,91638.0,Adult,High,1
10394,F,33.0,76796.0,Adult,Medium,1
10395,male,42.0,46766.0,Adult,Medium,0
10396,F,38.0,61416.0,Adult,Medium,0
10397,F,52.0,105447.0,Senior,High,1
10398,Female,38.0,83151.0,Adult,Medium,1
10399,female,16.0,64965.0,Young,Medium,0
10400,female,54.0,58790.0,Senior,Medium,1
10401,Male,28.0,67008.0,Young,Medium,0
10402,F,31.0,52348.0,Adult,Medium,0
10403,Female,31.0,12115.0,Adult,Low,0
10404,F,53.0,116343.0,Senior,High,1
10405,male,12.0,68769.0,Young,Medium,0
10406,F,75.0,75299.0,Senior,Medium,1
10407,M,49.0,63662.0,Adult,Medium,1
10408,Male,41.0,47064.0,Adult,Medium,0
10409,F,38.0,59888.0,Adult,Medium,0
10410,Male,42.0,,Adult,Low,0
10411,male,44.0,,Adult,High,1
10412,F,45.0,34580.0,Adult,Low,0
10413,F,44.0,39148.0,Adult,Low,0
10414,Female,39.0,53609.0,Adult,Medium,0
10415,Female,35.0,96941.0,Adult,High,1
10416,Female,35.0,64887.0,Adult,Medium,1
10417,male,35.0,34243.0,Adult,Low,0
10418,male,52.0,96419.0,Senior,High,1
10419,female,45.0,83750.0,Adult,Medium,1
10420,female,1.0,78765.0,Young,Medium,0
10421,F,46.0,83298.0,Adult,Medium,1
10422,F,39.0,,Adult,High,1
10423,Male,38.0,119931.0,Adult,High,1
10424,Female,33.0,47485.0,Adult,Medium,0
10425,Male,50.0,105828.0,Senior,High,1
10426,Female,50.0,74730.0,Senior,Medium,1
10427,Female,,77444.0,Young,Medium,0
10428,F,43.0,22241.0,Adult,Low,0
10429,M,25.0,,Young,Medium,0
10430,Male,20.0,44224.0,Young,Medium,0
10431,Male,29.0,85875.0,Young,Medium,1
10432,female,47.0,91561.0,Adult,High,1
10433,Female,49.0,13416.0,Adult,Low,0
10434,Male,45.0,64576.0,Adult,Medium,1
10435,Male,46.0,92627.0,Adult,High,1
10436,female,43.0,59876.0,Adult,Medium,1
10437,Male,31.0,-45000.0,Adult,Low,0
10438,F,42.0,74048.0,Adult,Medium,1
10439,female,47.0,73995.0,Adult,Medium,1
10440,Male,,57989.0,Adult,Medium,1
10441,Male,52.0,34478.0,Senior,Low,0
10442,F,47.0,37246.0,Adult,Low,0
10443,M,43.0,83022.0,Adult,Medium,1
10444,M,49.0,65580.0,Adult,Medium,1
10445,F,38.0,-1200.0,Adult,Low,0
10446,F,,54466.0,Young,Medium,0
10447,F,36.0,56870.0,Adult,Medium,0
10448,female,28.0,90887.0,Young,High,1
10449,M,29.0,56434.0,Young,Medium,0
10450,Male,35.0,31200.0,Adult,Low,0
10451,F,27.0,999972.0,Young,High,1
10452,Female,35.0,59861.0,Adult,Medium,0
10453,Female,15.0,66049.0,Young,Medium,0
10454,F,41.0,105359.0,Adult,High,1
10455,Male,39.0,64271.0,Adult,Medium,1
10456,Female,29.0,72239.0,Young,Medium,0
10457,Male,44.0,35603.0,Adult,Low,0
10458,Female,49.0,59922.0,Adult,Medium,1
10459,Male,18.0,80558.0,Young,Medium,0
10460,Male,29.0,,Young,Low,0
10461,Male,27.0,69978.0,Young,Medium,0
10462,Female,26.0,67113.0,Young,Medium,0
10463,female,47.0,66024.0,Adult,Medium,1
10464,Female,36.0,91192.0,Adult,High,1
10465,F,33.0,73009.0,Adult,Medium,1
10466,M,14.0,101473.0,Young,High,1
10467,male,45.0,40415.0,Adult,Medium,0
10468,F,22.0,68112.0,Young,Medium,0
10469,Male,39.0,67009.0,Adult,Medium,1
10470,F,41.0,38177.0,Adult,Low,0
10471,Male,55.0,,Senior,Medium,1
10472,F,23.0,123470.0,Young,High,1
10473,Male,2.0,64221.0,Young,Medium,0
10474,F,39.0,77505.0,Adult,Medium,1
10475,Female,59.0,66720.0,Senior,Medium,1
10476,F,52.0,47211.0,Senior,Medium,1
10477,Male,40.0,19100.0,Adult,Low,0
10478,Female,32.0,47149.0,Adult,Medium,0
10479,F,46.0,29820.0,Adult,Low,0
10480,Female,27.0,107557.0,Young,High,1
10481,Female,43.0,62151.0,Adult,Medium,1
10482,female,43.0,56020.0,Adult,Medium,0
10483,Female,51.0,87437.0,Senior,Medium,1
10484,Female,70.0,37378.0,Senior,Low,0
10485,Female,41.0,46323.0,Adult,Medium,0
10486,F,31.0,66343.0,Adult,Medium,0
10487,Male,37.0,90255.0,Adult,High,1
10488,male,17.0,77739.0,Young,Medium,0
10489,F,30.0,70968.0,Adult,Medium,0
10490,F,33.0,66682.0,Adult,Medium,0
10491,Female,30.0,74758.0,Adult,Medium,0
10492,Female,39.0,69869.0,Adult,Medium,1
10493,male,29.0,39652.0,Young,Low,0
10494,Male,50.0,65947.0,Senior,Medium,1
10495,Female,37.0,38636.0,Adult,Low,0
10496,M,36.0,66536.0,Adult,Medium,1
10497,Female,34.0,52928.0,Adult,Medium,0
10498,Male,39.0,128905.0,Adult,High,1
10499,F,48.0,64337.0,Adult,Medium,1
10500,F,26.0,29623.0,Young,Low,0
10501,female,29.0,61680.0,Young,Medium,0
10502,Female,34.0,-45000.0,Adult,Low,0
10503,male,22.0,106758.0,Young,High,1
10504,F,29.0,49955.0,Young,Medium,0
10505,female,31.0,25339.0,Adult,Low,0
10506,Male,150.0,-8000.0,Senior,Low,0
10507,F,40.0,,Adult,Low,0
10508,F,40.0,500422.0,Adult,High,1
10509,F,49.0,58321.0,Adult,Medium,1
10510,female,35.0,63087.0,Adult,Medium,0
10511,Female,41.0,82091.0,Adult,Medium,1
10512,M,199.0,48275.0,Senior,Medium,1
10513,F,42.0,58033.0,Adult,Medium,1
10514,F,30.0,64922.0,Adult,Medium,0
10515,Male,9.0,68579.0,Young,Medium,0
10516,Male,,67203.0,Adult,Medium,1
10517,M,56.0,,Senior,Medium,1
10518,F,49.0,85679.0,Adult,Medium,1
10519,F,50.0,74836.0,Senior,Medium,1
10520,Male,53.0,76639.0,Senior,Medium,1
10521,Female,38.0,25757.0,Adult,Low,0
10522,M,41.0,66325.0,Adult,Medium,1
10523,F,29.0,76794.0,Young,Medium,1
10524,F,34.0,82984.0,Adult,Medium,1
10525,F,45.0,48088.0,Adult,Medium,0
10526,Female,51.0,48820.0,Senior,Medium,1
10527,M,36.0,50777.0,Adult,Medium,0
10528,male,33.0,78589.0,Adult,Medium,1
10529,Male,,91211.0,Adult,High,1
10530,F,44.0,55013.0,Adult,Medium,0
10531,F,19.0,87650.0,Young,Medium,0
10532,F,10.0,67836.0,Young,Medium,0
10533,F,31.0,61715.0,Adult,Medium,0
10534,Female,24.0,60139.0,Young,Medium,0
10535,female,32.0,83393.0,Adult,Medium,1
10536,F,,73340.0,Adult,Medium,1
10537,F,33.0,122222.0,Adult,High,1
10538,Male,-5.0,43829.0,Young,Medium,0
10539,Female,42.0,78047.0,Adult,Medium,1
10540,Male,41.0,51565.0,Adult,Medium,0
10541,F,46.0,43493.0,Adult,Medium,0
10542,Female,24.0,,Young,Medium,0
10543,Male,50.0,68910.0,Senior,Medium,1
10544,female,38.0,138078.0,Adult,High,1
10545,Female,47.0,60112.0,Adult,Medium,1
10546,M,25.0,37077.0,Young,Low,0
10547,Male,18.0,71570.0,Young,Medium,0
10548,female,48.0,13080.0,Adult,Low,0
10549,Female,42.0,63047.0,Adult,Medium,1
10550,F,28.0,,Young,Medium,0
10551,Female,28.0,85358.0,Young,Medium,1
10552,F,52.0,,Senior,Medium,1
10553,Female,24.0,,Young,Medium,0
10554,Female,58.0,61619.0,Senior,Medium,1
10555,F,26.0,45382.0,Young,Medium,0
10556,M,44.0,36873.0,Adult,Low,0
10557,Male,33.0,72977.0,Adult,Medium,1
10558,Male,45.0,33001.0,Adult,Low,0
10559,female,30.0,54522.0,Adult,Medium,0
10560,Female,35.0,39653.0,Adult,Low,0
10561,female,,78280.0,Adult,Medium,1
10562,Male,24.0,110113.0,Young,High,1
10563,Male,47.0,32168.0,Adult,Low,0
10564,Male,30.0,19003.0,Adult,Low,0
10565,M,34.0,62232.0,Adult,Medium,0
10566,Female,,65043.0,Young,Medium,0
10567,M,8.0,70864.0,Young,Medium,0
10568,Female,36.0,53705.0,Adult,Medium,0
10569,F,67.0,59682.0,Senior,Medium,1
10570,male,48.0,74287.0,Adult,Medium,1
10571,Female,37.0,91269.0,Adult,High,1
10572,F,35.0,16457.0,Adult,Low,0
10573,M,39.0,55354.0,Adult,Medium,0
10574,Female,45.0,70321.0,Adult,Medium,1
10575,F,24.0,41983.0,Young,Medium,0
10576,F,51.0,108575.0,Senior,High,1
10577,Male,,49455.0,Adult,Medium,0
10578,F,45.0,63498.0,Adult,Medium,1
10579,Female,44.0,78486.0,Adult,Medium,1
10580,male,39.0,50267.0,Adult,Medium,0
10581,Female,47.0,18727.0,Adult,Low,0
10582,F,44.0,54395.0,Adult,Medium,0
10583,Female,32.0,90479.0,Adult,High,1
10584,male,32.0,56308.0,Adult,Medium,0
10585,Female,38.0,44248.0,Adult,Medium,0
10586,Male,56.0,88220.0,Senior,Medium,1
10587,Male,24.0,56421.0,Young,Medium,0
10588,Male,21.0,52660.0,Young,Medium,0
10589,Male,39.0,68775.0,Adult,Medium,1
10590,Male,38.0,84037.0,Adult,Medium,1
10591,Male,39.0,124981.0,Adult,High,1
10592,Female,40.0,85917.0,Adult,Medium,1
10593,Male,36.0,93571.0,Adult,High,1
10594,male,54.0,52584.0,Senior,Medium,1
